method,n,student_feasibility_mean,student_soundness_mean,teacher_mode_recall,viable_semantic_yield,nearest_training_target_similarity_mean,length_stop_rate
A0,1658,4.217581423401689,4.602533172496984,0.12037595496582228,1.8998793727382388,0.7913180452797324,0.0
B1,1658,3.6357056694813026,3.6032870928829914,0.02508041817450744,1.799155609167672,0.7616723636558461,0.04734620024125452
B2b,1658,3.3983715319662244,3.1761158021712905,0.03060916767189385,0.5645355850422196,0.7902955851900707,0.0
C1-best1,1658,4.23854041013269,4.657418576598311,0.13364495375954966,2.2478890229191797,0.7922425117114484,0.0
C2-best1,1658,4.239897466827503,4.655759951749095,0.13475070365902694,1.7949336550060313,0.79440184964813,0.0
D1,1658,4.233564535585042,4.65832328106152,0.11725975070365902,2.2225572979493364,0.7916930969287748,0.0
D2,1658,4.230699638118215,4.637967430639325,0.12540209087253718,1.7370325693606754,0.7935607863906928,0.00015078407720144752
